step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,23,14,15,15,right,right,0,0
2,24,13,16,16,right,right,0,0
3,25,12,17,17,right,right,0,0
4,26,11,18,18,right,right,0,0
5,27,10,19,19,right,right,0,0
6,28,9,20,20,right,right,0,0
7,29,8,21,21,right,right,0,0
8,28,7,22,22,right,right,0,0
9,27,6,23,23,right,right,0,0
10,26,5,24,24,right,right,0,0
11,25,4,23,25,left,right,0,0
12,24,3,24,25,right,stay,0,0
13,23,2,24,24,stay,left,0,0
14,22,1,23,23,left,left,0,0
15,21,0,22,22,left,left,0,0
16,21,16,15,15,right,right,1,0
17,20,17,16,16,right,right,1,0
18,19,18,17,17,right,right,1,0
19,18,19,18,18,right,right,1,0
20,17,20,18,18,stay,stay,1,0
21,16,21,17,17,left,left,1,0
22,15,22,16,16,left,left,1,0
23,14,23,15,15,left,left,1,0
24,13,24,14,14,left,left,1,0
25,12,25,13,13,left,left,1,0
26,11,26,12,12,left,left,1,0
27,10,27,11,11,left,left,1,0
28,9,28,10,10,left,left,1,0
29,8,29,9,9,left,left,1,0
30,9,14,13,13,left,left,1,1
31,10,13,12,12,left,left,1,1
32,11,12,11,11,left,left,1,1
33,12,11,10,11,left,stay,1,1
34,13,10,10,11,stay,stay,1,1
35,14,9,11,12,right,right,1,1
36,15,8,12,13,right,right,1,1
37,16,7,13,14,right,right,1,1
38,17,6,14,15,right,right,1,1
39,18,5,15,16,right,right,1,1
40,19,4,16,17,right,right,1,1
41,20,3,17,18,right,right,1,1
42,21,2,18,19,right,right,1,1
43,22,1,19,19,right,stay,1,1
44,23,0,20,20,right,right,1,1
45,8,16,13,13,left,left,2,1
46,9,17,12,12,left,left,2,1
47,10,18,11,11,left,left,2,1
48,11,19,12,10,right,left,2,1
49,12,20,11,10,left,stay,2,1
50,13,21,11,11,stay,right,2,1
51,14,22,12,12,right,right,2,1
52,15,23,13,13,right,right,2,1
53,16,24,14,14,right,right,2,1
54,17,25,15,15,right,right,2,1
55,18,26,16,16,right,right,2,1
56,19,27,17,17,right,right,2,1
57,20,28,18,18,right,right,2,1
58,21,29,19,19,right,right,2,1
59,16,14,15,15,right,right,2,2
60,15,13,15,15,stay,stay,2,2
61,14,12,15,15,stay,stay,2,2
62,13,11,14,14,left,left,2,2
63,12,10,13,13,left,left,2,2
64,11,9,12,12,left,left,2,2
65,10,8,11,11,left,left,2,2
66,9,7,10,10,left,left,2,2
67,8,6,9,9,left,left,2,2
68,7,5,8,10,left,right,2,2
69,6,4,7,9,left,left,2,2
70,5,3,6,8,left,left,2,2
71,4,2,5,7,left,left,2,2
72,3,1,4,6,left,left,2,2
73,2,0,3,5,left,left,2,2
74,28,16,15,15,right,right,3,2
75,27,17,16,14,right,left,3,2
76,26,18,17,15,right,right,3,2
77,25,19,18,16,right,right,3,2
78,24,20,18,17,stay,right,3,2
79,23,21,19,18,right,right,3,2
80,22,22,20,19,right,right,3,2
81,21,23,21,20,right,right,3,2
82,20,24,21,20,stay,stay,3,2
83,19,25,20,20,left,stay,3,2
84,18,26,19,19,left,left,3,2
85,17,27,18,18,left,left,3,2
86,16,28,17,17,left,left,3,2
87,15,29,16,16,left,left,3,2
88,18,14,15,15,right,right,3,3
89,19,13,16,16,right,right,3,3
90,20,12,17,17,right,right,3,3
91,21,11,18,18,right,right,3,3
92,22,10,19,19,right,right,3,3
93,23,9,20,20,right,right,3,3
94,24,8,21,21,right,right,3,3
95,25,7,22,22,right,right,3,3
96,26,6,23,23,right,right,3,3
97,27,5,24,22,right,left,3,3
98,28,4,25,23,right,right,3,3
99,29,3,26,24,right,right,3,3
100,28,2,27,23,right,left,3,3
101,27,1,27,24,stay,right,3,3
102,26,0,27,25,stay,right,3,3
103,25,1,26,25,left,stay,3,3
104,24,2,25,25,left,stay,3,3
105,23,3,24,24,left,left,3,3
106,22,4,23,24,left,stay,3,3
107,21,5,22,23,left,left,3,3
108,20,6,21,22,left,left,3,3
109,19,7,20,21,left,left,3,3
110,18,8,19,20,left,left,3,3
111,17,9,18,21,left,right,3,3
112,16,10,17,20,left,left,3,3
113,15,11,16,19,left,left,3,3
114,14,12,15,18,left,left,3,3
115,13,13,14,17,left,left,3,3
116,12,14,13,16,left,left,3,3
117,11,15,12,15,left,left,3,3
118,10,16,11,14,left,left,3,3
119,9,17,10,13,left,left,3,3
120,8,18,9,12,left,left,3,3
121,7,19,9,11,stay,left,3,3
122,6,20,8,10,left,left,3,3
123,5,21,7,9,left,left,3,3
124,4,22,6,8,left,left,3,3
125,3,23,5,7,left,left,3,3
126,2,24,4,6,left,left,3,3
127,1,25,3,5,left,left,3,3
128,0,26,2,4,left,left,3,3
129,1,27,1,3,left,left,3,3
130,2,28,1,2,stay,left,3,3
131,3,29,1,2,stay,stay,3,3
132,26,14,15,15,right,right,3,4
133,27,13,16,16,right,right,3,4
134,28,12,17,17,right,right,3,4
135,29,11,18,18,right,right,3,4
136,28,10,19,19,right,right,3,4
137,27,9,20,20,right,right,3,4
138,26,8,21,21,right,right,3,4
139,25,7,22,22,right,right,3,4
140,24,6,23,23,right,right,3,4
141,23,5,23,24,stay,right,3,4
142,22,4,23,23,stay,left,3,4
143,21,3,22,23,left,stay,3,4
144,20,2,21,24,left,right,3,4
145,19,1,20,23,left,left,3,4
146,18,0,19,22,left,left,3,4
147,8,14,13,13,left,left,4,4
148,9,13,12,12,left,left,4,4
149,10,12,11,11,left,left,4,4
150,11,11,10,10,left,left,4,4
151,12,10,10,10,stay,stay,4,4
152,13,9,11,11,right,right,4,4
153,14,8,12,12,right,right,4,4
154,15,7,13,13,right,right,4,4
155,16,6,14,14,right,right,4,4
156,17,5,15,15,right,right,4,4
157,18,4,16,16,right,right,4,4
158,19,3,17,17,right,right,4,4
159,20,2,18,18,right,right,4,4
160,21,1,19,19,right,right,4,4
161,22,0,19,20,stay,right,4,4
